time,cpi_mom,cpi_yoy,cpi_yoy_diff,cpi_mom_log,cpi_mom_log_lag_1,cpi_mom_log_lag_12,cpi_yoy_diff_lag_1,cpi_yoy_diff_lag_12,cpi_mom_log_pct_change,cpi_yoy_diff_pct_change,cpi_mom_log_seasonal_12,cpi_mom_log_seasonal_24,cpi_yoy_diff_seasonal_12,cpi_yoy_diff_seasonal_24,cpi_mom_log_window_1,cpi_yoy_diff_window_1,cpi_mom_log_window_2,cpi_yoy_diff_window_2,cpi_mom_log_window_3,cpi_yoy_diff_window_3,cpi_mom_log_window_4,cpi_yoy_diff_window_4,cpi_mom_log_window_5,cpi_yoy_diff_window_5,cpi_mom_log_window_6,cpi_yoy_diff_window_6
1996-01-01,100.9,109.76,-3.1499999999999915,4.6141299273595635,,,,,,,,,,,,,,,,,,,,,,
1996-02-01,102.5,108.8,-0.960000000000008,4.629862798578463,4.6141299273595635,,-3.1499999999999915,,0.0034097156921419902,-0.6952380952380919,,,,,4.6141299273595635,-3.1499999999999915,,,,,,,,,,
1996-03-01,100.8,109.46,0.6599999999999966,4.613138355637268,4.629862798578463,,-0.960000000000008,,-0.003612297743753823,-1.6874999999999907,,,,,4.629862798578463,-0.960000000000008,4.6141299273595635,-3.1499999999999915,,,,,,,,
1996-04-01,100.1,108.48,-0.9799999999999898,4.6061696863211745,4.613138355637268,,0.6599999999999966,,-0.0015106135517435337,-2.4848484848484773,,,,,4.613138355637268,0.6599999999999966,4.629862798578463,-0.960000000000008,4.6141299273595635,-3.1499999999999915,,,,,,
1996-05-01,99.5,106.03,-2.450000000000003,4.600157644164547,4.6061696863211745,,-0.9799999999999898,,-0.0013052150845596078,1.5000000000000289,,,,,4.6061696863211745,-0.9799999999999898,4.613138355637268,0.6599999999999966,4.629862798578463,-0.960000000000008,4.6141299273595635,-3.1499999999999915,,,,
1996-06-01,99.5,104.66,-1.3700000000000045,4.600157644164547,4.600157644164547,,-2.450000000000003,,0.0,-0.4408163265306111,,,,,4.600157644164547,-2.450000000000003,4.6061696863211745,-0.9799999999999898,4.613138355637268,0.6599999999999966,4.629862798578463,-0.960000000000008,4.6141299273595635,-3.1499999999999915,,
1996-07-01,99.3,103.93,-0.7299999999999898,4.598145571051127,4.600157644164547,,-1.3700000000000045,,-0.0004373922089326854,-0.46715328467154205,,,,,4.600157644164547,-1.3700000000000045,4.600157644164547,-2.450000000000003,4.6061696863211745,-0.9799999999999898,4.613138355637268,0.6599999999999966,4.629862798578463,-0.960000000000008,4.6141299273595635,-3.1499999999999915
1996-08-01,99.6,103.2,-0.730000000000004,4.601162164590552,4.598145571051127,,-0.7299999999999898,,0.0006560456803319514,1.9539925233402755e-14,,,,,4.598145571051127,-0.7299999999999898,4.600157644164547,-1.3700000000000045,4.600157644164547,-2.450000000000003,4.6061696863211745,-0.9799999999999898,4.613138355637268,0.6599999999999966,4.629862798578463,-0.960000000000008
1996-09-01,100.3,103.0,-0.20000000000000284,4.60816569496789,4.601162164590552,,-0.730000000000004,,0.0015221220480414743,-0.7260273972602715,,,,,4.601162164590552,-0.730000000000004,4.598145571051127,-0.7299999999999898,4.600157644164547,-1.3700000000000045,4.600157644164547,-2.450000000000003,4.6061696863211745,-0.9799999999999898,4.613138355637268,0.6599999999999966
1996-10-01,100.1,103.0,0.0,4.6061696863211745,4.60816569496789,,-0.20000000000000284,,-0.00043314602356747667,-1.0,,,,,4.60816569496789,-0.20000000000000284,4.601162164590552,-0.730000000000004,4.598145571051127,-0.7299999999999898,4.600157644164547,-1.3700000000000045,4.600157644164547,-2.450000000000003,4.6061696863211745,-0.9799999999999898
1996-11-01,100.9,103.82,0.8199999999999932,4.6141299273595635,4.6061696863211745,,0.0,,0.001728169299109572,inf,,,,,4.6061696863211745,0.0,4.60816569496789,-0.20000000000000284,4.601162164590552,-0.730000000000004,4.598145571051127,-0.7299999999999898,4.600157644164547,-1.3700000000000045,4.600157644164547,-2.450000000000003
1996-12-01,101.0,104.55,0.730000000000004,4.61512051684126,4.6141299273595635,,0.8199999999999932,,0.00021468608324659577,-0.10975609756096338,,,,,4.6141299273595635,0.8199999999999932,4.6061696863211745,0.0,4.60816569496789,-0.20000000000000284,4.601162164590552,-0.730000000000004,4.598145571051127,-0.7299999999999898,4.600157644164547,-1.3700000000000045
1997-01-01,100.8,104.44,-0.10999999999999943,4.613138355637268,4.61512051684126,4.6141299273595635,0.730000000000004,-3.1499999999999915,-0.0004294928370252027,-1.1506849315068477,4.6141299273595635,,-3.1499999999999915,,4.61512051684126,0.730000000000004,4.6141299273595635,0.8199999999999932,4.6061696863211745,0.0,4.60816569496789,-0.20000000000000284,4.601162164590552,-0.730000000000004,4.598145571051127,-0.7299999999999898
1997-02-01,101.8,103.73,-0.7099999999999937,4.623010104116422,4.613138355637268,4.629862798578463,-0.10999999999999943,-0.960000000000008,0.0021399203141372336,5.454545454545431,4.629862798578463,,-0.960000000000008,,4.613138355637268,-0.10999999999999943,4.61512051684126,0.730000000000004,4.6141299273595635,0.8199999999999932,4.6061696863211745,0.0,4.60816569496789,-0.20000000000000284,4.601162164590552,-0.730000000000004
1997-03-01,99.5,102.39,-1.3400000000000034,4.600157644164547,4.623010104116422,4.613138355637268,-0.7099999999999937,0.6599999999999966,-0.00494319922241282,0.8873239436619933,4.613138355637268,,0.6599999999999966,,4.623010104116422,-0.7099999999999937,4.613138355637268,-0.10999999999999943,4.61512051684126,0.730000000000004,4.6141299273595635,0.8199999999999932,4.6061696863211745,0.0,4.60816569496789,-0.20000000000000284
